vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
??,"To Tie, To Bind",???,Transitive verb and Godan verb,??????????????????,Tie your shoelaces tightly so they won’t come loose.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. The kanji itself means bind, so the verb version is to tie or to bind.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet, so here's a mnemonic to help you: What do you want to tie up? Your Shiba (??) Inu! She's always running off and getting into trouble. You have to tie her up outside when you leave the house. It's sad, but at least it keeps her safe!",?,Bind,,,8420,level56 vocab
?,Wisdom,?,Noun,???????????????????????,I looked at the figures of those children and I felt like my own wisdom was freed.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"This has the same reading as the kanji you learned, meaning you know the reading!",?,Wisdom,,,8421,level56 vocab
????,Yasukuni Shrine,????????,Noun,??????????????????,Have you ever visited Yasukuni Shrine?,,,,,"You already know that ?? means ""shinto shrine,"" so add peaceful and country to it and you get a shrine that calls for the peace of the entire country. It's Yasukuni Shrine. If you watch the news you know that this name and everything it stands for is always a topic of current debates.","This is a combination of two words. The first two kanji take the kun'yomi readings and the second two are the jukugo word ??. You already learned all of these readings, so you should already be able to read this word!","?, ?, ?, ?","Peaceful, Country, God, Company",,,8422,level56 vocab
??,"A And B, First And Second",????,Noun,?????????????????,It’s hard to say which result is better.,,,,,A and B make A and B!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Turtle Shell, Latter",,,8460,level57 vocab
??,"Abortion, Feticide",???,Noun and ?? verb,????????????????,It looks like she refused an abortion.,,,,,"If you degenerate a womb and there was a fetus in there, it's called an abortion, or feticide.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Degenerate, Womb",,,8461,level57 vocab
??,"Agreement, Stipulation, Article, Clause",????,Noun,??????????????,Did you read the agreement thoroughly?,,,,,An article you write a promise on is an agreement. Make sure you read them thoroughly before you sign them!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Promise, Article",,,8462,level57 vocab
??,Annual Salary,????,Noun,????????????????????????????????????????,"This player was offered an extraordinary annual salary, but he rejected it and stayed with his team.",,,,,The salary you get each year is an annual salary.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Watch out because ?? becomes ?? here.,"?, ?","Year, Salary",,,8463,level57 vocab
??,Appendix,?????,Noun and ? adjective,????????????????,My appendix had to be surgically removed.,,,,,"Which of your guts is blind? Your appendix. That's why so many people have to get them out. It's in there blind, bumping around, messing things up.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Blind, Intestines",,,8464,level57 vocab
??,"Articles Of Incorporation, Company Statute, Articles Of The Company Laws",????,Noun,?????????????????????,If I make this sample I can easily draw up a company statute.,,,,,Articles that determine the rules and regulations of your job or a company are called articles of incorporation.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Determine, Article",,,8465,level57 vocab
??,"Balance, Equilibrium",????,Noun and ?? verb,?????????????????????,She suddenly lost her balance and toppled over.,,,,,Flatten out your equilibrium and you'll have perfect balance.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Flat, Equilibrium",,,8466,level57 vocab
??,"Bandit, Brigand",????,Noun and ? adjective,???????????????,The bandits became friends.,,,,,Mountain robbers are known as bandits.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Mountain, Robber",,,8467,level57 vocab
??,Bathtub,????,Noun,??????????????????????,"When I don’t clean it everyday, the bathtub accumulates grime.",,,,,"The tank you bathe in is a bathtub. Unless you're bathing in like... the town's water supply. If you are, please stop. I don't want to drink your bathwater.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Bathe, Tank",,,8468,level57 vocab
??,"Beat, Palpitate, Pulse, Throb",???,Noun and ?? verb,????????????????????,The young girl’s face turned red and her heart throbbed.,,,,,The beat that moves inside your body is the beating of your heart. Put your hand up to your neck and you should be able to feel it pulse.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Drum, Move",,,8469,level57 vocab
??,"Blackmail, Extortion",?????,Noun and ?? verb,???????????????????,The yakuza is using my adultery to blackmail me.,,,,,"A man in a leather jacket scolds you and is using fear tactics to get paid. He's blackmailing you! That's illegal. Come to think of it, he's probably a member of the yakuza. You should move.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Fear, Scold",,,8470,level57 vocab
??,"Blindness, Blind",????,"Noun, ? adjective, and ? adjective",??????????????????,We have a blind dog.,,,,,Blind eyes will mean you suffer from blindness.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Blind, Eye",,,8471,level57 vocab
??,Blind Person,????,Noun,???????????????????????,A man lives in that house who was born blind.,,,,,A blind person is a blind person.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Blind, Person",,,8472,level57 vocab
??,Blind Spot,????,Noun,???????????????,The criminal hit a blind spot in the investigation.,,,,,Your blind point is a blind spot. Be careful to watch your blind spots when you're driving.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Blind, Point",,,8473,level57 vocab
??,"Boldly, Bravely, Fearlessly",????,"Adjective, Adverb, and Noun",???????????????????????????????????,That man plans to boldly oppose the difficult situation with nothing but his own determination.,,,,,If you have a daring nature you'll boldly go where no one else has gone before!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Daring, Nature",,,8474,level57 vocab
??,"Brave, Heroic, Gallant",????,? adjective,?????????????????????,Your father was a very brave soldier.,,,,,You have courage and daring! You're a brave and heroic hero of old. A samurai perhaps?,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Courage, Daring",,,8475,level57 vocab
??,"Brew, Ferment, Breed",?????,Noun and ?? verb,????????????????,They brew sake here.,,,,,"Beer can only become brewed if you decide to brew it. Beer can't make itself, you know.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Brew, Become",,,8476,level57 vocab
??,"Brewing, Distillation",?????,Noun and ?? verb,??????????????????,I toured the scotch distillery.,,,,,Create a brew of beer by brewing it.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Brew, Create",,,8477,level57 vocab
??,"Browsing, Perusal, Reading",????,Noun and ?? verb,???????????????????????,There are browsing restrictions on this website.,,,,,"If you want to look at and give a quick inspection of some stuff then you're just browsing. You don't want to buy yet, you just have to give a look.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Inspection, Look At",,,8478,level57 vocab
??,"Censor, Inspect",????,"Noun, ?? verb, and ? adjective",???????????????????,Internet censorship is practiced in this country.,,,,,If you examine something too closely during your inspection you'll probably find a flaw and want to censor it. Put little black bars over all the flaws you find as you stare.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Examine, Inspection",,,8479,level57 vocab
??,"Channel, Strait",?????,Noun,???????????????,We’ll cross the channel in this ferry.,,,,,A ravine in the water connecting two seas is a channel or a strait.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Sea, Ravine",,,8480,level57 vocab
???,Circulatory Organ,??????,Noun,??????????????????,There are five circulatory organ specialists in this hospital.,,,,,"You already know that ?? means ""circulation,"" so adding container makes it what holds things that circulate. They're your circulatory organs. They contain all the air moving throughout your body like a container.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?, ?","Circulation, Loop, Container",,,8481,level57 vocab
???,"Clownfish, Anemone Fish",????,Noun,????????????????????,Nemo and his family are fish called clownfish.,,,,,I want you to try to bear this truth and that's these kanji make up the word clownfish! Do you think a clownfish is this bear? I'm telling the truth! Maybe.,"This word consists of the kun'yomi readings for all the kanji. You haven't learned these readings for ? or ? yet though, so here's a mnemonic to help you: If you get too close to a clownfish, it will hide inside its stinging anemone and shout, ""YOU DON'T KNOW ME (??)! It's true, you don't know this clownfish, but you want to. I guess all of them are afraid of strangers though... how will you know me if you don't give me a chance, clownfish?!","?, ?, ?","Bear, This, Truth",,,8482,level57 vocab
??,Color Blindness,????,Noun and ? adjective,???????????,Can color-blindness be cured?,,,,,If you're only blind to color then you have color blindness.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Color, Blind",,,8483,level57 vocab
???,Compass,?????,Noun,?????????????????????,He was my life’s compass.,,,,,Spread out a needle in a tray of water after rubbing it with a magnet and you'll have made a compass! Try it at home kids! It really works!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?, ?","Spread Out, Needle, Tray",,,8484,level57 vocab
??,"Conception, Fertilization, Fertilisation",????,Noun and ?? verb,??????????????????????????????,The last child a horse named Elaine conceived was Stay Gold.,,,,,Accept a child into your womb with conception. Now there's a baby in there!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Accept, Womb",,,8485,level57 vocab
??,"Condolence, Sympathy, Mourning",????,"Noun, ?? verb, and ? adjective",??????????????,I sent flowers to express my condolences.,,,,,Express your unique idea of condolence by offering your condolences and sympathy to people who are going through hard times.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Condolence, Idea",,,8486,level57 vocab
??,Cornea,????,Noun and ? adjective,?????????????????????????,In Lasik surgery your cornea is shaved with a laser.,,,,,Membranes that wrap around at an angle are in your eye. Eyes are round and the membranes have to bend around the front part at an angle. It's called your cornea.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Angle, Membrane",,,8487,level57 vocab
??,"Corruption, Depravity, Degradation",???,Noun and ?? verb,??????????????????????????,"My brother nearly drowns in women and alcohol, and is buried in his horribly corrupted life.",,,,,"Fall into the life of a degenerate and you'll probably get involved in lots of corruption. Stealing, stabbing, money laundering, that kind of stuff.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Degenerate, Fall",,,8488,level57 vocab
??,"Covering, Encompassing, Including",???,Noun and ?? verb,????????????????????????,That man covered all the tasks here in just one month.,,,,,If you spread out some netting enough you'll be covering everything. But you can only do that if you spread it out really far.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Netting, Spread Out",,,8489,level57 vocab
?,"Crow, Raven",???,Noun,?????????????,Crows pick through garbage.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"This has the same reading as the kanji you learned, meaning you know the reading!",?,Crow,,,8490,level57 vocab
???,"Dare To, Presume To, Daringly",???,Adverb,??????????????????????????????,I only dared to say something so intense because it was to you.,,,,,"This is the adverb version of the kanji daring, so it means dare to or daringly.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet so here's a mnemonic to help you: You're about to daringly jump off a cliff and you shout, ""AAAHHH (?)!"" to get your courage up! You always have to yell AAHH before you dare to do daring things!",?,Daring,,,8491,level57 vocab
??,Dark Blue,????,Noun,??????????????????????,Having one black and one dark blue suit is convenient.,,,,,Put a thick drop of dark blue paint on a canvas and it will look like an even bolder dark blue.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Thick, Navy",,,8492,level57 vocab
??,"Decisive Action, Perform, Dare, Carry Out",????,Noun and ?? verb,???????????????????,Do you really intend to carry out this strategy?,,,,,You use your daring and just go! You made a decisive action by just going like that! It was go or not go and you chose go!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Daring, Go",,,8493,level57 vocab
??,"Drum, Taiko",???,Noun and ? adjective,?????????????????????,I beat my stomach "pom-pom" like a drum.,,,,,"A really fat thing you hit to make a beat is called a drum. A taiko drum, that is. They're really big and fat looking and are super cool to watch and play!",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Fat, Drum",,,8494,level57 vocab
??,Eardrum,???,Noun and ? adjective,????????????????????,If you play things so loudly you’ll wear out your eardrums.,,,,,You can hear something beat because of a membrane in your ear called an eardrum. Make sure you don't stick your fingers too far in your ear or you could really hurt it.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Drum, Membrane",,,8495,level57 vocab
??,"Embryo, Fetus, Foetus",???,Noun and ? adjective,??????????????????????????????,I was able to see the fetus stretch and shrink on the echo.,,,,,A child that's still in a womb is a fetus.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Womb, Child",,,8496,level57 vocab
??,Enumeration,???,Noun and ?? verb,???????????????????????,"At first glance, it just looks like a random list of words.",,,,,Spread out a complete row of numbers in the right order and you have enumeration!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Spread Out, Row",,,8497,level57 vocab
??,Enzyme,???,Noun and ? adjective,???????????????????????????,Enzyme diets are popular among young women right now.,,,,,The one element you need to ferment something is an enzyme. That breaks whatever you're trying to ferment down in just the right way.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Fermentation, Element",,,8498,level57 vocab
??,"Equilibrium, Balance",????,Noun and ?? verb,??????????????????????????????,I’m having an affair to keep my balance and my calm.,,,,,Equal out your equilibrium and you'll have solid equilibrium.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Equal, Equilibrium",,,8499,level57 vocab
??,Fermentation,????,"Noun, ?? verb, and ? adjective",???????????????????????????,Please teach me how to keep the sweetness in wine and stop fermentation.,,,,,When you ferment something it makes a departure from what it originally was and transforms during fermentation into something new.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Departure, Fermentation",,,8500,level57 vocab
??,Fight Bravely,????,Noun and ?? verb,?????????????????????,I think I fought pretty bravely against a favorite for the championship.,,,,,"If you're involved in a daring struggle you need to be strong and fight bravely. Even if you might get hurt, you should do your best!",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Daring, Struggle",,,8501,level57 vocab
??,"Fish Tank, Water Tank",????,Noun,???????????????????,How often do you clean the fish tank?,,,,,A tank of water can be used as a fish tank or a water tank for drinking. It really only depends on you and how many fish you have.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Water, Tank",,,8502,level57 vocab
??,"Germination, Sprout",???,Noun and ?? verb,??????????????????????,Your duty is to suppress the germination of love between people.,,,,,A sprout that sprouts can thank germination for being able to sprout nice and big and strong.,"This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for ? yet, so here's a mnemonic to help you: When a plant sprouts out of the ground it's still a baby so all it can say is goo goo ga ga (?).","?, ?","Sprout, Sprout",,,8503,level57 vocab
??,"Grief, Distress, Sorrow",???,Noun,?????????????????????,She looked this way with a sorrowful expression on her face.,,,,,"This is a single kanji with an ? on the end, but wait! It's not an adjective, it's just a noun (tricky, tricky). The kanji means grief, so this word means grief or distress.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading when you learned ???. Remember that and you'll remember this!",?,Grief,,,8504,level57 vocab
?,"Guts, Bowels, Intestines","???, ??, ????",Noun,???????????????????,I introduced exercise to improve my bowel movements.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"This has the same reading as the kanji you learned, meaning you know the reading!",?,Intestines,,,8505,level57 vocab
?,"Hand Drum, Tsuzumi",???,Noun,???????????????,The way that woman hit her hand drum was superb.,,,,,What do you hit to make a sick beat? A cool little hand drum.,"Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you: You like to use your hand drum when two dudes meet (???). You drum and tap it and it as they high five and it makes them super uncomfortable with makes you super happy. That's why you love your hand drum so much.",?,Drum,,,8506,level57 vocab
??,"How Many Times, How Often",????,Noun,???????????????,"No matter how many times I see this movie, I always cry.",,,,,What's universal? How many times do you think that question's been asked throughout time? Probably a lot of times.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Just watch out because ?? becomes ?? here.,"?, ?","What, Universal",,,8507,level57 vocab
??,"Inspiration, Encouragement",??,Noun and ?? verb,????????????????????????,That coach is good at encouraging player morale.,,,,,The beat makes you want to dance. It's the inspiration you need to dance. The beat gives you encouragement to dance all night long. And without such a rockin' beat you would have lame dance moves.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Drum, Dance",,,8508,level57 vocab
??,"Isolation, Cut Off, Blockade, Quarantine",????,Noun and ?? verb,??????????????????,Access to the site has been cut off.,,,,,"If you intercept trade and cut off a country from the rest of the world they'll be stuck in a state of isolation or if they have some kind of disease like zombie-itus, it's a quarantine.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Intercept, Cut Off",,,8509,level57 vocab
??,"Large Intestine, Large Bowel, Colon",?????,Noun and ? adjective,?????????????,They found large intestine cancer.,,,,,"The big intestines are called the large intestine, or the colon. It's where your poop goes and comes from!",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Big, Intestines",,,8510,level57 vocab
??,"Letterpress, Relief Printing",????,Noun and ? adjective,????????????????????????????????????,At our company we use special techniques to cheaply do resin relief printing and direct plate making.,,,,,Press uneven carvings into paper to make the newest edition of your magazine. What you're using is a letterpress. This made mass printing nice and cheap(ish) in Japan!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Watch out because ?? becomes ?? here.,"?, ?","Convex, Edition",,,8511,level57 vocab
??,"Loan, International Loan",?????,Noun,???????????????????????????,Did you know that Japan offers international yen loans to many countries?,,,,,An article that proves that you're only borrowing money or stuffed animals is called a loan. You have to pay that person back for those fluffy critters.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Borrow, Article",,,8512,level57 vocab
??,"Lumbering, Felling, Deforestation",????,Noun and ?? verb,??????????????????????,Notification is necessary before felling a forest.,,,,,"Fell trees and gather them up. That's called lumbering. Or if you cut them all down and take every last one, it's deforestation and you should be ashamed!",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Fell, Gather",,,8513,level57 vocab
??,"Magistrate, Shogunate Administrator",????,Noun and ?? verb,?????????????????,I always let my boyfriend be in charge of the nabe.,,,,,If you can dedicate yourself to going to a bunch of meetings and dealing with everyone's problems you'll make a good magistrate.,"This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned either of these readings yet. Sorry! Here's a mnemonic to help you: The magistrate is the only person who's allowed to wear boots in Kyoto (????). If you see someone wearing boots while you're there, you'll know that person is the magistrate!","?, ?","Dedicate, Go",,,8514,level57 vocab
?,"Maple, Maple Tree","???, ??",Noun,?????????????,The maple leaves started to change color too.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"This has the same reading as the kanji you learned, meaning you know the reading!",?,Maple,,,8515,level57 vocab
??,Maple Sugar,"????, ?????",Noun,????????????????????????,I often use maple sugar instead of sugar in my cooking.,,,,,Maple sugar is maple sugar!,"This word is more often read as ????. You can figure out the reading by looking at the ? portion of the kanji, remember its reading, and apply it here (??).","?, ?","Maple, Sugar",,,8516,level57 vocab
??,"Melody, Tune",????,Noun and ? adjective,?????????????????????????????,I can always hear the melody of a beautiful piano from that house.,,,,,"If you follow the law of rotation while you play music you'll end up with a lovely melody. If you don't, you'll miss all the cues on beat that rotation gives you and it will sound like crap.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Rotation, Law",,,8517,level57 vocab
?,"Membrane, Film",??,Noun,?????????????????????,A thin film forms when I warm milk.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"This has the same reading as the kanji you learned, meaning you know the reading!",?,Membrane,,,8518,level57 vocab
??,"Memorial Address, Funeral Address",????,Noun,????????????,Who will read the funeral address?,,,,,When someone quits living you need to offer your condolences during their memorial address. Let it all out and tell everyone what you thought about that dead guy.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Condolence, Quit",,,8519,level57 vocab
?,"Navy Blue, Deep Blue, Navy",??,Noun,?????????????????????????,The navy blue dress suits that young lady’s fair skin.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"This has the same reading as the kanji you learned, meaning you know the reading!",?,Navy,,,8520,level57 vocab
??,"Once, One Time",????,Noun,?????????????????????????,I wanted to eat caviar but one time was enough.,,,,,One universal event can only happen once. It's too rare to happen more than that.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Just watch out because ?? becomes ?? here.,"?, ?","One, Universal",,,8521,level57 vocab
???,"Oolong Tea, Oolong","??????, ??????",Noun,?????????????,"Oolong tea without ice, please.",,,,,"Imperial tea the color of a crow's feathers can only be the famous, delicious Oolong tea. It came from the imperial people of China to Japan (probably) and there are lots of different variants. But the leaves are all that blackish/grey crow feather color.","This word takes the on'yomi readings except for ? which is an exception (sorry). You haven't learned the on'yomi for ? yet either, so here's a mnemonic to help you: Who loves Oolong tea more than anyone else? Oooo Ron (????) Weasley from Harry Potter. He's British, so of course you'd think he loves tea, but Oolong is his jam. Just picture him and think, oooooh it's Ron, when you drink this kind of tea. And make sure you remember that, because this is also a written in katakana when the kanji isn't used, to type out the long mark ? when you enter your answer.","?, ?, ?","Crow, Imperial, Tea",,,8522,level57 vocab
??,Pirate,????,Noun and ? adjective,????????????????,During the voyage they were attacked by pirates.,,,,,Robbers who sail on the high seas are pirates! Arrr!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Sea, Robber",,,8523,level57 vocab
??,"Placenta, Afterbirth",????,Noun and ? adjective,?????????????????,I ate my wife’s placenta after she gave birth.,,,,,"Something comes out of a womb and is then put on a tray. It's the afterbirth. Yeah, yeah, eww. Grow up, it's a word you should know.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Womb, Tray",,,8524,level57 vocab
??,"Ravine, Gorge, Canyon",?????,Noun,???????????????????????,Have you ever crossed the bridge that spans over this ravine?,,,,,A ravine in a valley is still a ravine. It can also be a gorge or a canyon. They're usually really big. Like the Grand Canyon!,"This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for ? yet, so here's a mnemonic to help you: If you're going to travel through a huge ravine you have to stay hydrated. The best thing to bring is some taste, cold Coke (??). Nothing quenches your thirst from sweating through a long, rough ravine like delicious Coke!","?, ?","Ravine, Valley",,,8525,level57 vocab
???,"Reception Hall, Guest House",??????,Noun,???????????????,I was invited to the reception hall.,,,,,A public building where you welcome VIP guests is a reception hall. Or a guest house if they're staying the night.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?, ?","Welcome, VIP, Public Building",,,8526,level57 vocab
???,"Regrettable, Disappointing, Precious, Dear",???,? adjective,?????????????,I lost a precious person.,,,,,"This is a single kanji with an ? on the end, meaning you know it's probably an adjective. What's the adjective form of frugal? It's regrettable or precious. If you're too frugal to buy something your actions are regrettable later when you realize you wanted that thing. If you're so frugal you only buy one single thing, it's very precious to you.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet so here's a mnemonic to help you: You made a regrettable decision. You didn't buy that clock you wanted and now it's been discontinued. The salesperson tells you this and all you can say is, ""Oh..."" (?) really really quietly. How disappointing.",?,Frugal,,,8527,level57 vocab
??,"Resolute, Determined, Bold",???,Noun and ? adjective,???????????????????,He boldly collected data from all over the world.,,,,,A daring fruit is very resolute and bold! She's going to go out and be a fruit superhero or scientist or something.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Fruit, Daring",,,8528,level57 vocab
??,Retina,????,Noun and ? adjective,????????????????????????????,The retina is a membrane inside your eye that resembles a camera’s film.,,,,,The nerve netting in the back of your eye is made up of membranes called the retina. It's what lets light in to help you see!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Netting, Membrane",,,8529,level57 vocab
??,"Revision, Proofreading",????,Noun and ?? verb,???????????????,Could you revise my manuscript for me?,,,,,An inspection you make of your homework before school is a revision. Sometimes proofreading will help you find mistakes before you hand it in too. Just make sure you look everything over.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","School, Inspection",,,8530,level57 vocab
??,"Revolution, Rotation, Turning, Circling",????,Noun and ?? verb,?????????????????????,I practiced a figure eight turn in the garage.,,,,,"It doesn't matter how many times a rotation goes around, it's still a rotation.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Rotation, Times",,,8531,level57 vocab
??,"Salary Reduction, Salary Cut",????,Noun and ?? verb,????????????????????,A thirty percent salary cut was announced by the company.,,,,,Your boss says she's going to decrease your salary with a company-wide salary reduction. You should probably start looking for a new job that won't do salary cuts like this.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Watch out because ?? becomes ?? here.,"?, ?","Decrease, Salary",,,8532,level57 vocab
??,"Sea Salt, Coarse Salt","????, ????",Noun,??????????????????????,Putting sea salt in baths seems to be good for you.,,,,,"If you want to find some coarse salt just dive in the sea and collect sea salt! The pieces are nice and big and lumpy, so you really taste it when you're cooking.",The readings for this word are both kun'yomi readings. You've learned both of these readings by now so you should be able to read this on your own.,"?, ?","Coarse, Salt",,,8533,level57 vocab
?,"Second, B, Latter, Defendant, Thanks, Chic, Quaint",??,Noun and ? adjective,??????????,"Hey, thanks for the report.",????Tofugu?????Wanikani??????????????????????????????,"We agree with the contract as outlined below with regards to the subcontract of the first company, Tofugu, and the second company, WaniKani.",???????????????????????????????,It’s very neat to look over my hometown from the top of the mountain.,"If something is the latter, it can't be first, it has to be at least second. This works for lists too. So if you have A through D, it's going to be B.","This has the same reading as the kanji you learned, meaning you know the reading!",?,Latter,,,8534,level57 vocab
??,"Squid, Cuttlefish",??,Noun,?????????????,Squid sashimi is my favorite food.,,,,,"Look in the sea and you'll see what looks like a crow moving under the water and it's a thief! It's stealing from all the fish. As it comes closer you see that it isn't a crow, it's a squid. Or a cuttlefish? One or the other.","The reading for this word is an exception. I'd give you a mnemonic to remember it but it looks like the mnemonic for ?? is ??! If you've been paying attention, you know this is squid already!","?, ?","Crow, Robber",,,8535,level57 vocab
??,"Stomach, Gastrointestine",????,"Noun, ? adjective, and ? adjective",???????????????????,My stomach isn’t very strong.,,,,,Intestines and stomach make up the stomach in your body.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Stomach, Intestines",,,8536,level57 vocab
??,"Thief, Robber",????,Noun,???????????????????,I’ll find the thief’s hiding place this time.,,,,,"A robber who steals is a thief. And still a robber, I guess.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Steal, Robber",,,8537,level57 vocab
??,"To Brew, To Cause, To Give Rise To, To Distill",???,Transitive verb and Godan verb,????????????????????,The idol’s bold statement is giving rise to public criticism.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. The kanji itself means brew, so the verb version is to brew or to distill.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet, so here's a mnemonic to help you: You want to brew up some beer but not the regular boring stuff. You're going to make it from the water in the hump of a camel (??). Camel beer is definitely not a horrible idea, right?",?,Brew,,,8538,level57 vocab
