vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
?,Body,???,Noun and ? adjective,????????????????????,"When I take a bath, I wash my body first.",?????????????????????,"Jamal, why is your body so flexible?",??????????????,My entire body is so itchy for some reason.,The kanji and the word are exactly the same. That means they share meanings as well.,"Since this word is made up of a single kanji, it should use the kun'yomi reading. When learning the kanji, you didn't learn that reading, so here's a mnemonic to help you with this word: You have your body. It's nice - looking good! What would really mess up your body? It would be a car raider (???). I'm talking about a dude who is a raider of some kind driving a car. If he runs into your body, you're done for, so watch out for the car raider. Of course, this mnemonic is only meant to get you close to the reading. Hopefully it is close enough to get you to the actual reading, ???.",?,Body,,,626,level5 vocab
???,Boy,?????,Noun,??????????????????????,The boy in front of them is Okada’s child.,???????????????????????????,"Congratulation, mom. It's a cute baby boy!",????????????????????????????????????????????????,That boy has so much energy. He just threw twenty eggs at his aunt’s head and managed to run away.,"A child of a man is no man, it is a boy.",If you know the kun'yomi readings of both of these kanji you should be okay. You have two separate single-kanji words put together by a ?. That's why it's the kun'yomi reading - they're separate.,"?, ?","Man, Child",,,627,level5 vocab
??,"Bread Loaf Counter, Counter for Loaves of Bread, Loaf of bread counter",??,Counter and Suffix,?????4????????????????,I ate four loaves of bread in one sitting from stress.,???????????????????????,It'd be cheaper to bake your own bread if you're buying five loaves of white bread at a time.,8???????????23????????23????????,Eight loaves of bread will make twenty-three egg sandwiches and twenty-three tuna sandwiches.,"This has the ? for counters, so you can bet this shares the bread loaf counter meaning with the kanji.","This has the same reading as the kanji you learned, meaning you know the reading!",?,Axe,,,628,level5 vocab
??,"Brothers, Siblings",?????,Noun,???????????????,I have two siblings.,????????????????!?,Were Mario and Luigi brothers!?,??????????????????????????????????,"I like those brothers, but I hate their stuffed animals.",You have an older brother and a younger brother. Wow! Both are here. These are brothers!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Older Brother, Younger Brother",,,629,level5 vocab
??,Caterpillar,???,Noun,????????????????,There was a caterpillar on the cabbage.,?????????????????,"I thought it was a caterpillar, but it was actually my sister's fake eyelashes.",????????????????????????????????,I videotaped a giant caterpillar fighting a giant centipede.,When you think of a fur insect what do you think of? My mind immediately goes to a caterpillar. Imagine the furriest caterpillar you can and touch it. How does it feel? Furry?,"The readings for this word are strange. Both use the kun'yomi readings - ? uses the reading you learned with the kanji, so that's easy. The ? part is like the vocab word ? you learned in the previous lesson.","?, ?","Fur, Insect",,,630,level5 vocab
??,"Close, Nearby, Near",???,? adjective,????????????????,My house is close to the station.,????????????????,I'm wearing close to no makeup today.,??????????????????????????????????????????????,Drinking American beer is like doing somersaults in a canoe. It’s too close to water.,"This is a single kanji with an ? on the end, meaning you know it's probably an adjective. What's the adjective form of near? It's close or nearby.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: You have to remember the ?? portion to be able to read this word. Imagine someone close to you... Too close. They are so close to you that they're touching their cheek (??) to your cheek. Feel the cheek on yours, it's getting awkward.",?,Near,,,631,level5 vocab
?,Color,??,Noun,?????????,What color do you like?,???????????????????????,Bell peppers turn from green to red when they ripen.,????????????????????????????????,"I’m color blind, so my reds appear orange and my blues appear black.",The kanji and the word are exactly the same. That means they share meanings as well.,"Since this word is made up of a single kanji and uses the kun'yomi reading. This is the reading you learned with the kanji, though, so enjoy.",?,Color,,,632,level5 vocab
??,"Company, Corporation, The Office",????,Noun,???????????????,How do you go to your company?,????????????????????????????????????????????????????,Tofugu is a company that deals with things like developing Japanese language learning materials and delivering Japanese-related information.,????????????????????????????,The president of the company I work for looks like a hamster.,The place where your company meets is your company. Sony is a company. Nintendo is a company. Etc.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Meet, Company",,,633,level5 vocab
??,"Composition, Writing, Essay",????,Noun and ?? verb,????????????????????,Please hand this essay in to professor Nakagawa.,??????????????????,I got 100 percent on the essay exam.,?????????????????,My essays are still full of mistakes.,"When you make writing, what are you doing? Simply put, you're writing. If you want to be fancier about it, you could say this is composition.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Make, Writing",,,634,level5 vocab
??,"Construction, Handicraft",????,Noun and ?? verb,??????????????,Construction is not my strong point.,??????????????,I failed to set up a reasonable alibi.,??????????????????????????????????????,"When I was in elementary school, I made a machine that makes ice cream for my school crafting project over summer break.","What is the ""industry of make""? Well, it's an industry where you make things, obviously. That can only be construction!","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Construction, Make",,,635,level5 vocab
??,"Convention, Tournament, Meetup, Event",????,Noun and ? adjective,??????????????????????,I am participating in the soccer tournament on Sunday.,??????????????????????,"At fireworks events, ice cream sells well.",??????????????????????????????????????????????????????????????,I won the marathon because I couldn’t stop farting and all the other runners slowed down whenever they smelled them.,When you have a big meet there's a lot of people together. Why would you have a bunch of people gather together? Probably for a convention or some kind of competition or tournament.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Big, Meet",,,636,level5 vocab
?,Diagram,?,Noun and Suffix,???????????,Please look at the diagram below.,??????????????????????,"If you click it, an enlarged view will appear.",??????????????????????????????,Your brother drew a simple diagram of the relationship between him and his girlfriend.,The kanji and the word are exactly the same. That means they share meanings as well.,"While words that are made up of a single kanji usually take the kun'yomi reading, this one takes the on'yomi reading. Luckily, this is the same reading you learned with the kanji, so it shouldn't be too hard to remember.",?,Diagram,,,637,level5 vocab
??,Diplomacy,????,Noun,????????????????????????,We discussed Japanese diplomacy today.,????????????,We have a shortage of diplomats.,????????????????,Japan isn’t very good at diplomacy.,"You want to mix opinions from outside your country into the way you handle things. That's called diplomacy. If you mix your country with the ones outside of your own, you'll all profit!",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Outside, Mix",,,638,level5 vocab
??,"Downtown, Backstreets",????,Noun,???????????????,I grew up downtown.,???????????????????????????????,I'd like to go to a good old fashioned saloon in the backstreet areas of the old cities of Tokyo.,????????????????????????????????????????,A shitamachi is an old Japanese style of downtown; it isn’t the same as the downtown we think of today.,"You have the below town. Does this sort of sound familiar? We have another word for it in English, but it's essentially the same thing: downtown. It isn't the downtown you might be used to though. In Japan, this is an old word that was used for the commercial districts literally, physically down (lower than) the main city. So picture an old, urban Japanese area!","The reading for this word is all kun'yomi despite being jukugo. Just think of sketchy things going on in the downtown, just like how there's sketchy kun'yomi readings for this word. You should know both the kun'yomi readings from the previous level, though, so if you do you know the reading for this word as well.","?, ?","Below, Town",,,639,level5 vocab
??,Engineering,????,Noun,???????????????,My specialization is engineering.,????????????????????????????????,The engineering class at Harvard University was excessively difficult.,?????????????????????????????????????,"I’d be perfect for this job, but I need an engineering degree in order to apply.",Someone with the study of industry is someone who creates things. That would be the study of engineering.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Construction, Study",,,640,level5 vocab
??,"Every Day, Daily",????,Noun,?????????????????????????,I study every day at a Japanese language school.,????????????????????????????,I'm commuting from Nagoya to Americamura in Osaka every day.,??17??21???????????????,I eat anywhere between 17-21 cheeseburgers every day.,Every day is daily (or just every day).,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Every, Sun",,,641,level5 vocab
??,"Every Month, Monthly","????, ????",Noun,????????????????????,There is a test at my school every month.,???????????????????????????????????????????????????????,"Although my family wasn't rich, my parents sent a living allowance to me when I was in university.",??????????????????,How much do you pay for rent each month?,Every moon is every month (as you know from all the month-related vocab). This can also mean monthly.,The most common reading for this word has the on'yomi reading for ? plus the kun'yomi reading for ?. That makes it ????. But it can be read ???? using both on'yomi readings too. You can use either!,"?, ?","Every, Moon",,,642,level5 vocab
??,"Every Time, Each Time",????,Noun,???????????????????????,I enter this marathon every time.,?????????????????????????,Koichi wiggles during each meeting.,?????????????????????,"Every time I try to smile, my gums start bleeding.",Every times is really just every time. Do you get your kanji readings correct ???,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Every, Times",,,643,level5 vocab
??,"Every Year, Yearly, Annually, Each Year","????, ????",Noun,?????????????????????,Where does Yamada go for her trip every year?,????????????????????????????????????,"That singer hints at retiring every year, so he must be saying it again this time just to get people to react.",?????????????????10?????????????????????????????????????????????????????,I’ve built a new door for the Johnson family every year for the past decade. Why don’t they just stop letting the troll use it?,You have every and year to combine into every year (yearly works as well).,"The reading for ? is what you'd expect. The reading for ? is the kun'yomi reading, though. So, use your knowledge of the vocab ? to help yourself to remember the reading for this word. You'll need to remember that the reading for this word is strange to get it into that brain of yours. That being said, the reading ???? works as well. I don't like this one as much as ???? but it's equally acceptable.","?, ?","Every, Year",,,644,level5 vocab
