name,symbol,mnemonic,
Cliff,厂,See the cliff? It's facing towards the west. What ocean is to your west? That's the direction this <font color='#0a9ce6'><b>cliff</b></font> is facing.,level4 radical
Ear,耳,"A bit more elaborate than the <font color='#0a9ce6'><b>eye</b></font>, though similar. In fact, if you go blind, your <font color='#0a9ce6'><b>ears</b></font> become one of your new senses of sight, which is why this is like another, somewhat modified, eye. You'll even notice little lines sticking out of the eye, that's because ears stick out more than eyes (目), which is why this radical is the ear radical.",level4 radical
Energy,气,"This radical is shaped kind of like a dam. See the wall and the water pushing over the top? If this radical is a dam, then it must create a ton of <font color='#0a9ce6'><b>energy</b></font> as well!",level4 radical
Flowers,艹,"See the little things sticking out of the ground? Those little things are pretty little <font color='#0a9ce6'><b>flowers</b></font>. You know they're flowers and not, say, grass, because they're pretty spaced out. You'll learn grass later, and it will be less spaced out, but somewhat similar to this, so keep that in mind!",level4 radical
Foot,足,Do you see the dude doing a flying dragon kick (or something) to the right? What does he hit the target with? Obviously it's his <font color='#0a9ce6'><b>foot</b></font>.,level4 radical
Forehead,冖,"Sure, this <font color='#0a9ce6'><b>forehead</b></font> is a bit square, but that's because it's Frankenstein's Monster's forehead. Also, did you notice that this is just the top part of the head (冂) radical? This is just the forehead part of that!",level4 radical
Frog,支,"Do you remember / know of the game 'Frogger'? Looking from a bird's eye view, this radical looks just like a <font color='#0a9ce6'><b>frog</b></font>, running across the highway.",level4 radical
Generation,世,"If you look at this radical, you'll notice that the inner piece built onto the ground radical and the outer piece, also built onto the ground are kind of the same... except, the outer piece isn't completely finished yet. The middle bit is all done, and they're the center. The second layer currently being formed is the next <font color='#0a9ce6'><b>generation</b></font>. Surely, there will be even another generation going around the second layer (when it's done) and another and another later on.",level4 radical
Helmet,宀,The <font color='#0a9ce6'><b>helmet</b></font> is almost like the lid (亠) except it has the little side things to hold it onto something. That's why this is a helmet that goes onto things you need to protect.,level4 radical
Horns,丷,"Can you see the <font color='#0a9ce6'><b>horns</b></font>? You could put these horns on anything. Donkeys, people, monkeys, and so on. That's exactly what we'll be doing when we learn kanji that have horns too.",level4 radical
Insect,虫,This radical contains a mouth and a pile. You basically have a pile of mouths sitting there... what do you think they're covered by? They're covered by <font color='#0a9ce6'><b>insects</b></font>. Make sure to imagine all these insects walking all over and eating / laying eggs in the pile of mouths (yuck).,level4 radical
Leader,ｲ,"This radical technically means 'person' (like 人), but we're going to shift the meaning a little bit. It's actually a little like the person radical, but it's taller and skinnier standing above the rest of those peons. That's why this is a <font color='#0a9ce6'><b>leader</b></font>, not a regular old person.",level4 radical
Loiter,彳,"The leader (ｲ) has a little extra on top of him, holding him down, holding him back. It's causing him to wait... it's causing him to <font color='#0a9ce6'><b>loiter</b></font>.",level4 radical
Master,主,"This is no ordinary king. He also happens to be a <font color='#0a9ce6'><b>master</b></font> at balancing a drop of water on his head without it soaking in or beading off. He's the master of water drops... the water king! You’ll have to imagine a King dressed like a master (master may mean different things depending on who you are… I tend to imagine someone who’s like an old Buddhist monk, but that’s just me). He’s balancing a single drop of water on top of his head, and it isn’t breaking (think sphere). He is totally the master… even better than a king.",level4 radical
Measurement,寸,"You have a drop radical and a sort of deformed cross radical. When the cross gets wet, it gets all bent out of shape (like in this radical) so it won't fit in the cross holder. You have to make a new one, so the first thing you need to do is get a new <font color='#0a9ce6'><b>measurement</b></font> of it.",level4 radical
Not,不,"If you see this radical in a kanji, you'll want to think of the opposite of whatever other radicals there are. It looks a lot like the below, but guess what? It's <font color='#0a9ce6'><b>not</b></font> the below radical.",level4 radical
Pelican,ネ,"This radical kind of looks like a <font color='#0a9ce6'><b>pelican</b></font> standing there with it's giant pelican mouth open. It even has the long legs, too.",level4 radical
Pi,⿱冖儿,Obviously this looks just like the good ol' 3.14 something-something all people are supposed to learn about. It's the math symbol that has to do with circles... <font color='#0a9ce6'><b>pi</b></font>!,level4 radical
Plate,皿,"This is a plate (the bottom part of the radical) with three tall columns of Jello on top. When you carry the <font color='#0a9ce6'><b>plate</b></font>, be sure to keep it flat, because the Jello Towers need to be perfectly straight otherwise they'll fall off and spill all over. Even though there's Jello on top, you should still remember this radical as plate, because that's the most important part.",level4 radical
Red,赤,"You have some legs (altered radical) and fins below a grave. Imagine yourself looking at all these severed limbs... there's blood everywhere. No matter where you look around this grave, it's totally <font color='#0a9ce6'><b>red</b></font>.",level4 radical
Rice,米,"Not to be confused with a rice paddy (田). This is just raw <font color='#0a9ce6'><b>rice</b></font>, like the grain that grows out of the ground when rice is raw and fresh. When rice is particularly ripe, it'll kind of look like this at the top of the stalks. That's why this radical is 'rice.'",level4 radical
Samurai,士,"The <font color='#0a9ce6'><b>samurai</b></font> looks a lot like the grave radical. The difference is the top horizontal line. For samurai, the top horizontal line is longer because they're higher class. therefore their gravestone crosses are longer than regular graves, making this radical the samurai radical.",level4 radical
See,見,"There's an eyeball on top of some legs. When your eyes get taken places (on legs, in this case), your eyes are <font color='#0a9ce6'><b>see</b></font>ing those things. That's why this radical means 'see.'",level4 radical
Spikes,业,"On the ground there are a bunch of <font color='#0a9ce6'><b>spikes</b></font> coming out. You wouldn't want to step on those now, would you?",level4 radical
